2026-07-16 11:29:31,692 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x6f', 'b': '0x3a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,699 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x2', 'a': '0x23', 'b': '0xc'}, 'response': {'zero': '0x0', 'result': '0xc'}}
2026-07-16 11:29:31,699 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x55', 'b': '0x8d'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,699 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x57', 'b': '0x46'}, 'response': {'zero': '0x0', 'result': '0xffffffc8'}}
2026-07-16 11:29:31,700 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x5', 'a': '0x3e', 'b': '0x79'}, 'response': {'zero': '0x0', 'result': '0x57'}}
2026-07-16 11:29:31,700 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x7', 'a': '0x53', 'b': '0x4d'}, 'response': {'zero': '0x0', 'result': '0x7c000000'}}
2026-07-16 11:29:31,700 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x1', 'a': '0x6e', 'b': '0xba'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,701 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x26', 'b': '0x25'}, 'response': {'zero': '0x0', 'result': '0xffffffb4'}}
2026-07-16 11:29:31,701 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x80', 'b': '0xc6'}, 'response': {'zero': '0x0', 'result': '0x3'}}
2026-07-16 11:29:31,701 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x3', 'a': '0xc1', 'b': '0x2c'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:29:31,702 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x5', 'a': '0x55', 'b': '0xac'}, 'response': {'zero': '0x0', 'result': '0xed'}}
2026-07-16 11:29:31,702 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x7', 'a': '0xa8', 'b': '0xb0'}, 'response': {'zero': '0x0', 'result': '0x55000'}}
2026-07-16 11:29:31,702 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x35', 'b': '0x57'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,703 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x7', 'a': '0x38', 'b': '0x1a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,703 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x85', 'b': '0x97'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,703 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x27', 'b': '0x37'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,703 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x30', 'b': '0x87'}, 'response': {'zero': '0x0', 'result': '0x13800000'}}
2026-07-16 11:29:31,704 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x2', 'a': '0x48', 'b': '0x8c'}, 'response': {'zero': '0x0', 'result': '0x1800'}}
2026-07-16 11:29:31,704 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x6e', 'b': '0x26'}, 'response': {'zero': '0x0', 'result': '0x8'}}
2026-07-16 11:29:31,704 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x7', 'b': '0x86'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:29:31,705 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x96', 'b': '0xa9'}, 'response': {'zero': '0x0', 'result': '0x1c0'}}
2026-07-16 11:29:31,705 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0xb6', 'b': '0x39'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,705 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x4c', 'b': '0x7'}, 'response': {'zero': '0x0', 'result': '0x6c000000'}}
2026-07-16 11:29:31,706 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x3', 'b': '0x8a'}, 'response': {'zero': '0x0', 'result': '0x4b'}}
2026-07-16 11:29:31,706 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x4', 'a': '0x2b', 'b': '0xa1'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,706 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x4', 'a': '0x63', 'b': '0x7'}, 'response': {'zero': '0x0', 'result': '0x8a'}}
2026-07-16 11:29:31,707 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x4', 'a': '0xbd', 'b': '0x8'}, 'response': {'zero': '0x0', 'result': '0x64'}}
2026-07-16 11:29:31,707 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x4', 'a': '0xc', 'b': '0x81'}, 'response': {'zero': '0x0', 'result': '0xb5'}}
2026-07-16 11:29:31,707 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x6e', 'b': '0x8c'}, 'response': {'zero': '0x0', 'result': '0x8d'}}
2026-07-16 11:29:31,708 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x6', 'a': '0xb7', 'b': '0xb'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:29:31,708 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x49', 'b': '0x47'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,708 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x7d', 'b': '0x52'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,709 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x2', 'a': '0x7f', 'b': '0xb9'}, 'response': {'zero': '0x0', 'result': '0xcf'}}
2026-07-16 11:29:31,709 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x2', 'a': '0x7f', 'b': '0xb9'}, 'response': {'zero': '0x0', 'result': '0x39'}}
2026-07-16 11:29:31,714 - INFO [uvm_test_top.env.AgentDefault.coverage]: Processed 51 transactions
2026-07-16 11:55:31,176 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0xa2', 'b': '0x0'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,177 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x22', 'b': '0x56'}, 'response': {'zero': '0x0', 'result': '0xa2'}}
2026-07-16 11:55:31,178 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x61', 'b': '0x95'}, 'response': {'zero': '0x0', 'result': '0xffffffcc'}}
2026-07-16 11:55:31,178 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x2', 'a': '0x9e', 'b': '0xc0'}, 'response': {'zero': '0x0', 'result': '0xffffffcc'}}
2026-07-16 11:55:31,178 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x5d', 'b': '0x58'}, 'response': {'zero': '0x0', 'result': '0x80'}}
2026-07-16 11:55:31,179 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x62', 'b': '0xaa'}, 'response': {'zero': '0x0', 'result': '0x5d000000'}}
2026-07-16 11:55:31,179 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x0', 'a': '0xad', 'b': '0x72'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:31,179 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x9e', 'b': '0x9'}, 'response': {'zero': '0x0', 'result': '0x11f'}}
2026-07-16 11:55:31,180 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x1', 'a': '0x26', 'b': '0x6d'}, 'response': {'zero': '0x0', 'result': '0x95'}}
2026-07-16 11:55:31,180 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x1', 'a': '0x26', 'b': '0xe'}, 'response': {'zero': '0x0', 'result': '0xffffffb9'}}
2026-07-16 11:55:31,180 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x21', 'b': '0x3a'}, 'response': {'zero': '0x0', 'result': '0x18'}}
2026-07-16 11:55:31,181 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x5', 'a': '0xc0', 'b': '0x5a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,181 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x5d', 'b': '0x3e'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,181 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x6', 'b': '0x99'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,182 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x6a', 'b': '0x2e'}, 'response': {'zero': '0x0', 'result': '0x9f'}}
2026-07-16 11:55:31,182 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0xaf', 'b': '0x6b'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,182 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x2', 'a': '0x4f', 'b': '0xa3'}, 'response': {'zero': '0x0', 'result': '0xef'}}
2026-07-16 11:55:31,183 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x59', 'b': '0x5b'}, 'response': {'zero': '0x0', 'result': '0x3'}}
2026-07-16 11:55:31,183 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x85', 'b': '0x96'}, 'response': {'zero': '0x0', 'result': '0xc8000000'}}
2026-07-16 11:55:31,183 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x7', 'a': '0x59', 'b': '0x41'}, 'response': {'zero': '0x0', 'result': '0x97'}}
2026-07-16 11:55:31,184 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x49', 'b': '0x40'}, 'response': {'zero': '0x0', 'result': '0x2c'}}
2026-07-16 11:55:31,184 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x5', 'a': '0x97', 'b': '0x4'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,184 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x8e', 'b': '0x79'}, 'response': {'zero': '0x0', 'result': '0x970'}}
2026-07-16 11:55:31,185 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x93', 'b': '0xaf'}, 'response': {'zero': '0x0', 'result': '0x1c000000'}}
2026-07-16 11:55:31,185 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x9f', 'b': '0x34'}, 'response': {'zero': '0x0', 'result': '0x3c'}}
2026-07-16 11:55:31,185 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x13', 'b': '0x3a'}, 'response': {'zero': '0x0', 'result': '0xbf'}}
2026-07-16 11:55:31,185 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x7', 'a': '0xa4', 'b': '0xc7'}, 'response': {'zero': '0x0', 'result': '0x29'}}
2026-07-16 11:55:31,186 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x7c', 'b': '0x53'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:31,186 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x2', 'a': '0x2b', 'b': '0x8e'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,186 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x61', 'b': '0x10'}, 'response': {'zero': '0x0', 'result': '0xa'}}
2026-07-16 11:55:31,187 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x4', 'a': '0xbb', 'b': '0x8'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,187 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x9c', 'b': '0x2e'}, 'response': {'zero': '0x0', 'result': '0xb3'}}
2026-07-16 11:55:31,187 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x6b', 'b': '0x36'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,188 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x4f', 'b': '0x61'}, 'response': {'zero': '0x0', 'result': '0x7f'}}
2026-07-16 11:55:31,188 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x2', 'a': '0xa2', 'b': '0x9d'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:31,188 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x1', 'a': '0xa5', 'b': '0x27'}, 'response': {'zero': '0x0', 'result': '0x80'}}
2026-07-16 11:55:31,188 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x7', 'a': '0xa8', 'b': '0x1c'}, 'response': {'zero': '0x0', 'result': '0x7e'}}
2026-07-16 11:55:31,189 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x4', 'a': '0xae', 'b': '0x3b'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,189 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0xba', 'b': '0x4d'}, 'response': {'zero': '0x0', 'result': '0x95'}}
2026-07-16 11:55:31,189 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x25', 'b': '0xb3'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,190 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x8a', 'b': '0x8f'}, 'response': {'zero': '0x0', 'result': '0xd8'}}
2026-07-16 11:55:31,190 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x1', 'b': '0x1e'}, 'response': {'zero': '0x0', 'result': '0x8f'}}
2026-07-16 11:55:31,190 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x91', 'b': '0x4'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,191 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x2', 'a': '0xaa', 'b': '0xac'}, 'response': {'zero': '0x0', 'result': '0x9'}}
2026-07-16 11:55:31,191 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x2', 'a': '0x43', 'b': '0x82'}, 'response': {'zero': '0x0', 'result': '0xa8'}}
2026-07-16 11:55:31,191 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0xb8', 'b': '0x7c'}, 'response': {'zero': '0x0', 'result': '0x2'}}
2026-07-16 11:55:31,191 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x86', 'b': '0x7'}, 'response': {'zero': '0x0', 'result': '0x3c'}}
2026-07-16 11:55:31,192 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x3f', 'b': '0x91'}, 'response': {'zero': '0x0', 'result': '0x4300'}}
2026-07-16 11:55:31,192 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x7', 'a': '0x84', 'b': '0x56'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:31,192 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x5f', 'b': '0x58'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:31,193 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x5f', 'b': '0x58'}, 'response': {'zero': '0x0', 'result': '0x7'}}
2026-07-16 11:55:39,820 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x74', 'b': '0xb4'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,821 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x3a', 'b': '0x4b'}, 'response': {'zero': '0x0', 'result': '0xc0'}}
2026-07-16 11:55:39,822 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x62', 'b': '0x63'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:39,822 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x25', 'b': '0xb4'}, 'response': {'zero': '0x0', 'result': '0x63'}}
2026-07-16 11:55:39,822 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0xa2', 'b': '0x7e'}, 'response': {'zero': '0x0', 'result': '0xb5'}}
2026-07-16 11:55:39,823 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x2', 'a': '0x8d', 'b': '0x3f'}, 'response': {'zero': '0x0', 'result': '0x80000000'}}
2026-07-16 11:55:39,823 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x7', 'a': '0x73', 'b': '0xc5'}, 'response': {'zero': '0x0', 'result': '0xd'}}
